"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",3559.29559221654
"2","member","Sunday",927.271569278366
"3","casual","Monday",3359.60765486557
"4","member","Monday",845.879906587824
"5","casual","Tuesday",3562.154743774
"6","member","Tuesday",829.832081690847
"7","casual","Wednesday",3702.90077517747
"8","member","Wednesday",813.802036349045
"9","casual","Thursday",3803.11914885558
"10","member","Thursday",811.865637769994
"11","casual","Friday",3768.99804418862
"12","member","Friday",825.561592859568
"13","casual","Saturday",3339.91829671145
"14","member","Saturday",973.591385174002
